Date,UUP,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XRT,SHY
2024-03-12,25.7489013671875,43.50304412841797,41.651283264160156,39.6758918762207,118.78518676757812,104.14258575439453,71.91912841796875,29.894609451293945,142.2299346923828,89.16582489013672,73.62434387207031,75.79740905761719
2024-03-13,25.721145629882812,43.93157196044922,42.3162841796875,39.96720504760742,119.10595703125,103.01736450195312,72.09901428222656,30.09720802307129,141.6785888671875,88.97900390625,74.12226867675781,75.7602767944336
2024-03-14,25.859928131103516,43.70046615600586,42.75181198120117,39.646759033203125,118.60051727294922,103.03709411621094,71.5404052734375,29.85692024230957,141.17555236816406,88.41362762451172,73.4779052734375,75.6952896118164
2024-03-15,25.887685775756836,43.71971893310547,42.87825393676758,39.6079216003418,118.61996459960938,101.4825210571289,71.51200866699219,29.899322509765625,140.61447143554688,87.53363037109375,73.8196029663086,75.64888000488281
2024-03-18,25.943199157714844,43.7994499206543,43.0264892578125,39.83502197265625,118.83055114746094,101.98129272460938,71.97171783447266,30.037086486816406,140.5979766845703,88.20221710205078,73.78047943115234,75.65816497802734
2024-03-19,26.007965087890625,43.80427932739258,43.5174674987793,40.02995300292969,119.85428619384766,102.5102310180664,72.23877716064453,30.303112030029297,141.52996826171875,88.96590423583984,74.33808135986328,75.72314453125
2024-03-20,25.887685775756836,44.24401092529297,43.45609664916992,40.507545471191406,121.29725646972656,103.65709686279297,72.4581527709961,30.341114044189453,141.20962524414062,90.2912368774414,75.6489486694336,75.84381866455078
2024-03-21,26.0634765625,44.427642822265625,43.71574401855469,40.83893966674805,122.49649047851562,103.73123931884766,72.49629974365234,30.293609619140625,141.39407348632812,90.81843566894531,76.44134521484375,75.84381866455078
2024-03-22,26.202260971069336,44.152198791503906,43.6213264465332,40.371097564697266,122.0772476196289,103.7658462524414,72.14340209960938,30.336366653442383,141.1999053955078,90.02518463134766,75.55113220214844,75.8995132446289
2024-03-25,26.137495040893555,44.16670608520508,44.02732849121094,40.215145111083984,121.28750610351562,103.0787124633789,71.94310760498047,30.478878021240234,141.0057373046875,89.72957611083984,74.87612915039062,75.86238861083984
2024-03-26,26.1560001373291,44.13287353515625,43.68741989135742,40.351600646972656,120.84876251220703,102.65359497070312,71.98126220703125,30.132095336914062,141.52027893066406,89.84288787841797,75.16960906982422,75.88094329833984
2024-03-27,26.174503326416016,44.765899658203125,44.09341812133789,40.82918930053711,122.78897857666016,103.17758178710938,72.73473358154297,30.972923278808594,143.4037322998047,90.88247680664062,76.65657043457031,75.96450805664062
2024-03-28,26.24852180480957,44.88670349121094,44.570228576660156,41.05337142944336,122.8084716796875,102.95513916015625,72.83011627197266,31.18669319152832,143.42312622070312,90.60163879394531,77.27287292480469,75.91809844970703
