Date,BIL,TIP,IEI,SHY
2022-10-27,78.71623229980469,97.33906555175781,103.58761596679688,72.31407928466797
2022-10-28,78.7076416015625,97.22045135498047,103.16159057617188,72.20723724365234
2022-10-31,78.7076416015625,97.08357238769531,102.90782165527344,72.10042572021484
2022-11-01,78.71454620361328,97.0653305053711,102.7652816772461,72.02997589111328
2022-11-02,78.7403564453125,96.84627532958984,102.67454528808594,71.99433898925781
2022-11-03,78.76620483398438,95.76953125,102.34774780273438,71.86055755615234
2022-11-04,78.783447265625,96.12540435791016,102.42945861816406,71.94083404541016
2022-11-07,78.77482604980469,96.24403381347656,102.2206802368164,71.87841033935547
2022-11-08,78.783447265625,96.38092041015625,102.58375549316406,71.94973754882812
2022-11-09,78.82647705078125,96.18017578125,102.90148162841797,72.065673828125
2022-11-10,78.83511352539062,97.7770767211914,104.381103515625,72.4580078125
2022-11-11,78.82647705078125,97.72232055664062,104.25399780273438,72.44017028808594
2022-11-14,78.82647705078125,97.00145721435547,104.09059143066406,72.37776184082031
2022-11-15,78.84371948242188,97.63107299804688,104.55354309082031,72.44908142089844
2022-11-16,78.85234832763672,97.87747192382812,104.8712387084961,72.4580078125
2022-11-17,78.87818145751953,97.21131134033203,104.45372009277344,72.36883544921875
2022-11-18,78.87818145751953,96.71854400634766,104.18138122558594,72.28858184814453
2022-11-21,78.88680267333984,97.22956848144531,104.14508819580078,72.27075958251953
2022-11-22,78.90400695800781,97.6219482421875,104.3356704711914,72.32424926757812
2022-11-23,78.92125701904297,98.16033935546875,104.64432525634766,72.38666534423828
2022-11-25,78.92125701904297,98.06907653808594,104.66248321533203,72.39559936523438
2022-11-28,78.92984008789062,97.8409652709961,104.67154693603516,72.41342163085938
2022-11-29,78.9557113647461,97.42119598388672,104.50816345214844,72.38666534423828
2022-11-30,78.9557113647461,98.86298370361328,105.2162094116211,72.60067749023438
2022-12-01,78.97299194335938,99.92369079589844,105.8553466796875,72.75702667236328
2022-12-02,78.98162078857422,100.66375732421875,105.94627380371094,72.73916625976562
2022-12-05,78.99024963378906,99.63134002685547,105.20983123779297,72.53367614746094
2022-12-06,79.01618957519531,99.61308288574219,105.51895141601562,72.61407470703125
2022-12-07,79.01618957519531,100.04251098632812,106.1190185546875,72.76595306396484
2022-12-08,79.06798553466797,100.01508331298828,105.72806549072266,72.69446563720703
2022-12-09,79.0593490600586,99.06490325927734,105.40984344482422,72.65873718261719
2022-12-12,79.06798553466797,99.07403564453125,105.33711242675781,72.61407470703125
2022-12-13,79.06798553466797,99.36640167236328,105.95536041259766,72.82852935791016
2022-12-14,79.09391021728516,99.11974334716797,106.15538024902344,72.83747100830078
2022-12-15,79.1111831665039,99.13713073730469,106.1753921508789,72.84730529785156
2022-12-16,79.1111831665039,98.60550689697266,106.15719604492188,72.91893768310547
2022-12-19,79.12069702148438,98.26634979248047,105.74738311767578,72.82939147949219
2022-12-20,79.12933349609375,98.2388687133789,105.41043090820312,72.82939147949219
2022-12-21,79.13802337646484,98.77050018310547,105.50152587890625,72.90103912353516
2022-12-22,79.19001770019531,98.22972106933594,105.42864990234375,72.85625457763672
2022-12-23,79.19001770019531,98.00972747802734,105.2374038696289,72.82044219970703
2022-12-27,79.19001770019531,97.56061553955078,104.74565124511719,72.72193145751953
