Date,BIL,TIP,IEI
2022-11-23,78.9212417602539,98.16032409667969,104.64432525634766
2022-11-25,78.9212417602539,98.06909942626953,104.66249084472656
2022-11-28,78.92987823486328,97.84095764160156,104.67155456542969
2022-11-29,78.95569610595703,97.42119598388672,104.5081558227539
2022-11-30,78.95569610595703,98.86298370361328,105.21621704101562
2022-12-01,78.97297668457031,99.92371368408203,105.8553695678711
2022-12-02,78.98161315917969,100.66377258300781,105.94628143310547
2022-12-05,78.990234375,99.63133239746094,105.20983123779297
2022-12-06,79.01615142822266,99.61308288574219,105.51896667480469
2022-12-07,79.01615142822266,100.04248809814453,106.11901092529297
2022-12-08,79.06798553466797,100.01507568359375,105.72806549072266
2022-12-09,79.0593490600586,99.06491088867188,105.40985870361328
2022-12-12,79.06798553466797,99.07402801513672,105.3371353149414
2022-12-13,79.06798553466797,99.36638641357422,105.95536804199219
2022-12-14,79.09391021728516,99.1197280883789,106.15538024902344
2022-12-15,79.11116027832031,99.13714599609375,106.1754379272461
2022-12-16,79.11116027832031,98.60551452636719,106.15719604492188
2022-12-19,79.12069702148438,98.26636505126953,105.74739837646484
2022-12-20,79.12935638427734,98.23888397216797,105.41046142578125
2022-12-21,79.13803100585938,98.77050018310547,105.50154876708984
2022-12-22,79.19001770019531,98.22970581054688,105.42865753173828
2022-12-23,79.19001770019531,98.00973510742188,105.23741149902344
2022-12-27,79.19001770019531,97.56060791015625,104.74563598632812
2022-12-28,79.21599578857422,97.45062255859375,104.67280578613281
2022-12-29,79.25064086914062,97.85392761230469,104.86404418945312
2022-12-30,79.24201202392578,97.56060791015625,104.62727355957031
2023-01-03,79.25064086914062,97.9089126586914,104.93690490722656
2023-01-04,79.24201202392578,97.97308349609375,105.34671783447266
2023-01-05,79.26799774169922,98.0005874633789,105.17366027832031
2023-01-06,79.25931549072266,98.89881896972656,106.08434295654297
2023-01-09,79.2766342163086,99.12796020507812,106.27558898925781
2023-01-10,79.26799774169922,98.72465515136719,106.04792785644531
2023-01-11,79.26799774169922,99.14629364013672,106.36668395996094
2023-01-12,79.32862091064453,99.92538452148438,107.0041275024414
2023-01-13,79.33728790283203,99.14629364013672,106.66717529296875
2023-01-17,79.33728790283203,98.8621597290039,106.61255645751953
2023-01-18,79.34596252441406,99.5404052734375,107.44124603271484
2023-01-19,79.3805923461914,100.15451049804688,107.27732849121094
2023-01-20,79.38926696777344,99.58625030517578,106.8857421875
2023-01-23,79.38926696777344,99.49457550048828,106.62164306640625
2023-01-24,79.39791870117188,100.06287384033203,106.8857421875
2023-01-25,79.4065933227539,100.26449584960938,106.9949951171875
2023-01-26,79.44989776611328,100.2553482055664,106.76736450195312
2023-01-27,79.45856475830078,100.03539276123047,106.67626953125
2023-01-30,79.45856475830078,99.54960632324219,106.42131042480469
2023-01-31,79.46723937988281,99.58625030517578,106.82200622558594
2023-02-01,79.47242736816406,100.2553482055664,107.37926483154297
2023-02-02,79.50723266601562,100.11785888671875,107.36101531982422
2023-02-03,79.52462005615234,99.1829605102539,106.54925537109375
2023-02-06,79.53333282470703,98.78883361816406,105.8013687133789
2023-02-07,79.54199981689453,99.04544830322266,105.76488494873047
2023-02-08,79.54199981689453,99.55875396728516,105.94730377197266
2023-02-09,79.56807708740234,99.05462646484375,105.65543365478516
2023-02-10,79.5767822265625,98.69717407226562,105.39093017578125
2023-02-13,79.59416961669922,98.8621597290039,105.4730224609375
2023-02-14,79.59416961669922,98.53218841552734,105.02610778808594
2023-02-15,79.61155700683594,98.53218841552734,104.95314025878906
2023-02-16,79.6550521850586,98.29386901855469,104.8254623413086
2023-02-17,79.66374206542969,98.48634338378906,105.02610778808594
2023-02-21,79.66374206542969,98.0464096069336,104.3694076538086
2023-02-22,79.6898193359375,97.99140167236328,104.46974182128906
2023-02-23,79.71590423583984,98.31219482421875,104.67041778564453
2023-02-24,79.72460174560547,97.67060852050781,104.1869888305664
2023-02-27,79.7332763671875,97.87224578857422,104.38762664794922
2023-02-28,79.74200439453125,98.23888397216797,104.43325805664062
2023-03-01,79.74634552001953,97.87224578857422,103.96000671386719
2023-03-02,79.77252197265625,97.94557189941406,103.76814270019531
2023-03-03,79.78994750976562,98.99964904785156,104.11532592773438
2023-03-06,79.79866027832031,98.46802520751953,104.042236328125
2023-03-07,79.79866027832031,97.8447494506836,103.82295227050781
2023-03-08,79.81607818603516,97.3772964477539,103.7407455444336
2023-03-09,79.83354187011719,97.63392639160156,104.36199951171875
2023-03-10,79.85099792480469,99.07299041748047,105.57709503173828
2023-03-13,79.86841583251953,99.82455444335938,106.84698486328125
2023-03-14,79.87714385986328,99.27461242675781,106.16179656982422
2023-03-15,79.92073059082031,100.48448944091797,107.38606262207031
2023-03-16,79.95559692382812,99.34794616699219,106.6460189819336
2023-03-17,79.97305297851562,99.55875396728516,107.55963134765625
2023-03-20,79.98178100585938,99.65042877197266,107.25814819335938
2023-03-21,79.98178100585938,99.4395980834961,106.55465698242188
2023-03-22,79.99922180175781,100.8052978515625,107.56877136230469
2023-03-23,80.03406524658203,100.9886245727539,108.180908203125
2023-03-24,80.05152130126953,100.73197174072266,108.15347290039062
2023-03-27,80.04281616210938,99.94371795654297,107.26726531982422
2023-03-28,80.06024932861328,100.2553482055664,107.06629180908203
2023-03-29,80.06024932861328,100.44783782958984,106.96577453613281
2023-03-30,80.07769012451172,100.54866027832031,107.02973175048828
2023-03-31,80.06024932861328,101.05277252197266,107.48654174804688
2023-04-03,80.07951354980469,101.23355865478516,107.8105239868164
2023-04-04,80.08824157714844,101.52718353271484,108.37794494628906
2023-04-05,80.13202667236328,101.76577758789062,108.58846282958984
2023-04-06,80.1407699584961,101.99519348144531,108.57929992675781
2023-04-10,80.14952850341797,101.27027130126953,107.83798217773438
2023-04-11,80.15827941894531,101.4446029663086,107.80136108398438
2023-04-12,80.1758041381836,101.4813003540039,108.12171173095703
2023-04-13,80.2195816040039,101.23355865478516,108.01187133789062
2023-04-14,80.2195816040039,100.7930908203125,107.56342315673828
2023-04-17,80.23707580566406,100.33427429199219,107.13328552246094
2023-04-18,80.24583435058594,100.4352035522461,107.19732666015625
2023-04-19,80.25459289550781,100.33427429199219,107.04176330566406
2023-04-20,80.31587982177734,100.65543365478516,107.50849914550781
2023-04-21,80.30712127685547,100.70132446289062,107.3437728881836
